
Image Name                     PID Session Name        Session#    Mem Usage
msedgewebview2.exe           18504 Console                    7      3,348 K
RuntimeBroker.exe            10996 Console                    7      2,656 K
ShellExperienceHost.exe      20896 Console                    7         24 K
RuntimeBroker.exe            17800 Console                    7      1,888 K
eclipse.exe                  11964 Console                    7    110,680 K
Code.exe                     28536 Console                    7     53,724 K
Code.exe                      8872 Console                    7      3,432 K
Code.exe                     20436 Console                    7     22,888 K
Code.exe                     11832 Console                    7     14,724 K
Code.exe                      2744 Console                    7    185,984 K
Code.exe                     18648 Console                    7     22,248 K
javaw.exe                     1204 Console                    7     65,136 K
node.exe                     19872 Console                    7      4,060 K
node.exe                     28208 Console                    7      6,036 K
conhost.exe                  21988 Console                    7        992 K
conhost.exe                  17348 Console                    7        988 K
svchost.exe                   1092 Services                   0      1,820 K
CodeSetup-stable-fcf60477    12428 Console                    7      1,908 K
CodeSetup-stable-fcf60477    27800 Console                    7      3,060 K
dllhost.exe                  15936 Console                    7      1,568 K
chrome.exe                   21876 Console                    7    155,416 K
chrome.exe                   25572 Console                    7      2,564 K
chrome.exe                    8596 Console                    7     57,628 K
chrome.exe                   17412 Console                    7     39,372 K
chrome.exe                   20952 Console                    7      8,400 K
chrome.exe                    8580 Console                    7     21,892 K
chrome.exe                   19592 Console                    7    871,036 K
chrome.exe                    8084 Console                    7     17,060 K
chrome.exe                   17560 Console                    7     11,028 K
chrome.exe                   23292 Console                    7      7,312 K
javaw.exe                     1332 Console                    7    409,364 K
Code.exe                     12500 Console                    7     16,468 K
Code.exe                     22340 Console                    7    228,540 K
Code.exe                     10068 Console                    7     15,660 K
OpenConsole.exe              22308 Console                    7      2,012 K
OpenConsole.exe              28376 Console                    7      1,960 K
OpenConsole.exe              23900 Console                    7      1,968 K
OpenConsole.exe              20212 Console                    7      1,976 K
powershell.exe               18248 Console                    7      3,960 K
cmd.exe                       7476 Console                    7        848 K
powershell.exe               22476 Console                    7      3,908 K
powershell.exe               10076 Console                    7      3,920 K
Code.exe                      6848 Console                    7      2,936 K
Code.exe                      9956 Console                    7     51,520 K
Code.exe                     25312 Console                    7      3,076 K
node.exe                     23480 Console                    7      1,416 K
cmd.exe                      20128 Console                    7        852 K
node.exe                      1384 Console                    7     28,068 K
esbuild.exe                  27872 Console                    7     15,512 K
chrome.exe                   24872 Console                    7     48,740 K
svchost.exe                  18384 Services                   0      6,532 K
WmiPrvSE.exe                 25828 Services                   0     16,500 K
dbeaver.exe                   8012 Console                    7    264,652 K
postgres.exe                 14304 Services                   0      1,508 K
postgres.exe                 12856 Services                   0      1,480 K
postgres.exe                 13016 Services                   0      4,040 K
postgres.exe                 12232 Services                   0      1,504 K
chrome.exe                   13668 Console                    7    122,896 K
FileCoAuth.exe                2816 Console                    7     11,616 K
svchost.exe                  14768 Services                   0      1,092 K
dllhost.exe                  17712 Console                    7      1,292 K
WUDFHost.exe                  8636 Services                   0      1,284 K
Antigravity.exe              24448 Console                    7    141,052 K
Antigravity.exe              23516 Console                    7      3,688 K
Antigravity.exe              11160 Console                    7    109,432 K
Antigravity.exe               9740 Console                    7     15,260 K
Antigravity.exe              14032 Console                    7    582,892 K
Antigravity.exe               1984 Console                    7     76,048 K
Antigravity.exe              13444 Console                    7      6,332 K
Antigravity.exe               3080 Console                    7      6,764 K
Antigravity.exe              27116 Console                    7     39,328 K
Antigravity.exe              20816 Console                    7    126,924 K
Antigravity.exe              11696 Console                    7     27,908 K
Antigravity.exe              15580 Console                    7     47,164 K
conhost.exe                   6660 Console                    7      2,412 K
powershell.exe                5232 Console                    7         44 K
conhost.exe                   9984 Console                    7      3,056 K
cmd.exe                       5112 Console                    7        880 K
conhost.exe                  26756 Console                    7      3,324 K
powershell.exe                8352 Console                    7     36,596 K
